Analog Name,Note,Actual start year,Max Extent,Unit,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
Spanish Reforestation,Cumulative (Total Area),1940,11.34626293,Mha,0.008926,0.02254,0.049979,0.077418,0.1233,0.17378,0.205827,0.237874,0.269922,0.297361,0.338629,0.398326,0.494894,0.586849,0.697236,0.803016,0.918017,0.982317,1.092714,1.175452,1.272015,1.36397,1.451316,1.543271,1.630622,1.717963,1.796098,1.869625,1.961579,2.053534,2.14088,2.232845,2.297145,2.389105,2.434977,2.499282,2.577412,2.609464,2.69681,2.76112,2.802384,2.866689,2.912561,2.94
FAO CA,Cumulative (Total Area),1974,1404.57,Mha,,,2.6,,,,,2.6,,,,,5.95,,,,,10.97,,,,,35.33,,45,,,67.12,72.14,,,103.2,,106.5,,145,,,156.7,,180.4,,,
Brazil No Till,Cumulative (Total Area),1974,855,Mha,0,0.2,0.3,0.2,0.2,0.3,0.4,0.4,0.4,0.5,0.7,0.6,0.8,0.8,0.9,1,1.2,1.5,2.1,3.2,4,5.7,9,11.5,13.5,14.4,17.4,18.8,20.3,21.9,23.7,25.6,26.2,27,27.9,29,30.4,31.9,,,,,,
Brazil Avoided Deforestation,Annual commodity driven deforestation in Brazil,2001,855,Mha,1.82,2.53,2.41,2.91,2.55,1.93,1.71,1.49,1.07,1.64,1.21,1.74,1.04,1.53,1.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US Wetlands 2002-2014,Cumulative (Total Area),2002,3.15,Mha,0.02334118,0.040817141,0.059569884,0.082392371,0.097953158,0.106012848,0.1176236,0.1288353,0.141962,0.153334,0.16658,0.180425,0.192994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Certification adoption,Cumulative (Total Area),1993,2171,Mha,0.14,0.14,0.27,0.43,0.84,5.33,10.74,18.92,24.28,30.82,40.27,44.24,57.1,73.06,90.86,97.24,115.76,132.82,141.66,155.64,180.48,184.37,181.98,191.02,198.82,201.52,202.37,221.54,,,,,,,,,,,,,,,,
Solomon Islands Mangrove Restoration,Cumulative (Total Area),,0.05278,Mha,0.00668279248,0.01416097956,0.02539689152,0.0370053775,0.04516769894,0.04948288618,0.05142529574,0.05223594376,0.05256354922,0.0526942325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal Avoided Deforestation,Annual Deforestation Area,2001,5.6794941,Mha,0.0002166,0.0002189,0.0003265,0.000331,0.000547,0.0003257,0.0003264,0.0006565,0.0006532,0.000439,0.0001083,0.0003295,0.0001098,0.0001098,0.0002195,0.0001096,0.0001096,0.000219,0.0003285,,,,,,,,,,,,,,,,,,,,,,,,,
Comoros Avoided Coastal Impacts,Annual Deforestation Area,1996,0.000105,Mha,,,,,,,,,,,,0.000105,0.000105,0.000105,0.000105,0.000105,0.000105,0.000105,0.000105,0.000105,0.000105,,,,,,,,,,,,,,,,,,,,,,,
